;;15032;15029;15028;15027;15026;15025;15024;15023;15022;15021;15020;15019;15018;15017;15016;15015;15014;15013;15012;15011;15010;15009;15007;15006;15005;15004;15003;15002;15001
;;Aug 8;Aug 7;Aug 6;Aug 5;Aug 5;Aug 4;Aug 4;Aug 3;Aug 3;Aug 3;Aug 2;Aug 2;Aug 1;Aug 1;Jul 31;Jul 31;Jul 30;Jul 30;Jul 29;Jul 29;Jul 28;Jul 28;Jul 27;Jul 27;Jul 27;Jul 26;Jul 26;Jul 25;Jul 25
kevin-kernelnext (kevin);;;;;;;;1;;1;1;;1;;;;;;;;;;;1;;;;1;;
kukui-arc-r (krane);;;;;;1;;;;;1;;;;;;1;;1;;;1;;;;1;;;;
kukui-kernelnext (kakadu);;;;;;1;;;;;1;;;;;;;;1;;;1;;1;;1;;;;
kukui-kernelnext (katsu);;;;;;1;;;;;1;;;;;;1;;;;;1;;1;;1;;1;;
kukui-kernelnext (kodama);;;;;;1;;;;;1;;;;1;;;;;;;1;;;;1;;;;
kukui-kernelnext (krane);;;;;;1;;;;;1;;;;1;;;;1;;;;;;;1;;;;
lars;;;;;;;;;;;;;;;;1;;1;;;;;;;;;;;;
lars-kernelnext (lars);;;;;;1;;1;;1;1;;;;1;;1;;1;;;;;;;1;;;;
nami (akali);;;;;;;1;;;;;;;;;1;;;;1;1;;1;;;;;;;
nami (akali360);;;;;;;;;;;;;;;;1;;1;;;1;;;;;;1;;;
nami (bard);;;;;;;1;;;;;;;1;;;;1;;;;;1;;1;;1;;;
nami (ekko);;;;;;;;;;;;;;1;;;;;;;1;;;;;;1;;;
nami (pantheon);;;;;;;;;;;;1;;;;;;;;1;1;;;;;;;;1;
nami (sona);;;;;;;1;;;;;;;;;;;;;;;;;;1;;1;;;
nami (syndra);;;;;;;1;;;;;;;;;;;;;;;;;;;;1;;;
nami (vayne);;;;;;;1;;;;;1;;;;1;;;;;;;;;;;;;;
nami-kernelnext (akali);;;;;;1;;;;;1;;1;;;;;;1;;;1;;;;;;;;
nami-kernelnext (akali360);;;;;;1;;;;;1;;1;;;;;;;;;;;;;1;;;;
nami-kernelnext (bard);;;;;;1;;;;;1;;;;1;;;;;;;1;;;;1;;;;
nami-kernelnext (ekko);;;;;;;;;;;1;;1;;;;;;1;;;;;;;;;;;
nami-kernelnext (pantheon);;;;;;1;;;;;1;;;;;;1;;1;;;;;;;;;;;
nami-kernelnext (sona);;;;;;1;;;;;1;;1;;1;;1;;;;;1;;1;;1;;1;;
nami-kernelnext (syndra);;;;;;1;;;;;1;;;;;;;;;;;1;;;;1;;;;
nami-kernelnext (vayne);;;;;;;;;;;1;;1;;;;1;;;;;;;;;;;;;
nautilus;;;;;;;1;;;;;;;1;;;;1;;;;;;;;;;;;
nautilus (nautiluslte);;;;;;;1;;;;;;;;;;;1;;;;;;;1;;;;;
nocturne;;;;;;;1;;;;;1;;;;;;;;;;;;;;;;;;
nocturne-kernelnext (nocturne);;;;;;1;;;;;;;;;;;;;;;;1;;1;;1;;1;;
octopus (ampton);;;;;;;;;;;;;1;;1;;;;;;;;;1;;1;;1;;
octopus (apel);;;;;;;;;;;1;;;;;;;;1;;;1;;1;;;;1;;
octopus (bloog);;;;;;1;;;;;;;;;;;1;1;;;;1;;1;;1;;;;
octopus (blooglet);;;;;;1;;;;;1;;1;;1;;;1;;;;;;;;;1;;;
octopus (blooguard);;;;;;1;1;;;;1;1;;1;;;1;;1;1;;;;1;;1;;;;
octopus (blorb);;;;;;1;;;;;1;;1;;;;;;;;;1;;;;;;;;
octopus (bluebird);;;;;;1;;;;;1;;;;1;;1;;;;;;1;1;;;1;1;;
octopus (bobba);;;;;;;;;;;1;;;;;;;;;;;1;;;;1;;1;;
octopus (bobba360);;;;;;1;;;;;1;;;;1;1;1;;;;;;;;;1;;;;
octopus (casta);;;;;;1;;;;;1;1;1;1;;;;;1;;;;;1;;;;;;
octopus (dood);;;;;;1;;;;;1;;1;;1;;1;;1;;;;;1;;1;;;;
octopus (dorp);;;;;;1;1;;;;1;1;1;;;;;;;;;1;;1;;1;;;;
octopus (droid);;;;;;1;;;;;1;;1;;1;;1;;;1;;;1;;;;;;;
octopus (fleex);;;;;;;1;;;;;;1;;1;;1;;;;;;;1;;;;;;
octopus (foob);;;;;;1;;;;;1;1;;1;1;;1;;;;;1;;;;1;;;;
octopus (foob360);;;;;;1;;;;;1;;;;1;;1;;;;;1;;1;;1;;;;
octopus (garfour);;;;;;1;;;;;1;1;1;;1;;;;1;;;;;1;;;;;;
octopus (garg);;;;;;1;;;;;1;1;1;;;1;;;1;;;1;;1;1;;;;;
octopus (garg360);;;;;;1;;;;;1;1;;1;1;;;;1;;;1;;;;;1;;;
octopus (grabbiter);;;;;;;;;;;1;;;;1;;;;1;;;1;;;;;;;;
octopus (laser14);;;;;;;;;;;1;;1;;;;1;;;;;1;;;;1;;;;
octopus (lick);;;;;;;;;;;1;;1;;;;1;;;;;1;;1;;1;;;;
octopus (meep);;;;;;;;;;;;;;;;;;;1;;;;;1;;;;;;
octopus (mimrock);;;;;;1;;;;;;;;;;;;;1;;;;;1;;1;;;;
octopus (nospike);;;;;;1;;;;;1;1;1;;;;1;1;1;;;1;;1;;1;;;;
octopus (orbatrix);;;;;;1;;;;;1;;1;;1;;;;1;;;;;1;;1;;1;;
octopus (phaser);;;;;;1;;;;;1;1;;;1;;;;;;;;;1;;1;;;;
octopus (phaser360);;;;;;1;;;;;1;;;;1;;;;;;;;;1;;;;1;;
octopus (sparky);;;;;;1;;;;;1;;;;;;;;1;;;1;;1;;1;;;;
octopus (sparky360);;;;;;1;;;;;1;1;;;;;;;;1;;1;;;;;;;;
octopus (vorticon);;;;;;1;;;;;;;1;;1;;;;;;;1;;;;;;;;
octopus (vortininja);;;;;;;;;;;1;;;;;;;;1;;;;;;;1;1;1;;
octopus-arc-r (blorb);;;;;;1;;;;;1;;1;;1;;;;1;;;1;;;;1;;1;;
octopus-arc-r (bluebird);;;;;;1;;;;;1;;1;;1;;;;;;;;;1;;1;;1;;
octopus-kernelnext (ampton);;;;;;;;;;;;;1;;1;;;;;;;1;;;;;;1;;
octopus-kernelnext (apel);;;;;;1;;;;;1;;;;1;;;;;;;;;;;1;;;;
octopus-kernelnext (bloog);;;;;;1;;;;;1;;;;;;;;;;;;;1;;1;;;;
octopus-kernelnext (blooglet);;;;;;;;;;;1;;1;;;;;;1;;;1;;;;;;;;
octopus-kernelnext (blooguard);;;;;;1;;;;;1;;;;1;;1;;;;;;;1;;1;;1;;
octopus-kernelnext (blorb);;;;;;;;;;;;;1;;1;;;;;;;1;;1;;1;;1;;
octopus-kernelnext (bluebird);;;;;;;;;;;1;;1;;;;1;;1;;;;;1;;1;;1;;
octopus-kernelnext (bobba);;;;;;1;;;;;1;;1;;1;;;;1;;;;;;;;;;;
octopus-kernelnext (bobba360);;;;;;;;;;;1;;;;;;;;1;;;1;;1;;;;;;
octopus-kernelnext (casta);;;;;;1;;;;;1;;;;;;1;;1;;;1;;;;;;;;
octopus-kernelnext (dood);;;;1;;;;;;;1;;;;;;1;;1;;;1;;1;;1;;1;;
octopus-kernelnext (dorp);;;;;;1;;;;;1;;1;;;;1;;1;;;;;1;;1;;;;
octopus-kernelnext (droid);;;;;;1;;;;;1;;;;;;;;;;;;;;;;;1;;
octopus-kernelnext (fleex);;;;;;1;;;;;1;;;;1;;;;1;;;;;;;1;;;;
