; 15032 ; 15029 ; 15028 ; 15027 ; 15026 ; 15025 ; 15024 ; 15023 ; 15022 ; 15021 ; 15020 ; 15019 ; 15018 ; 15017 ; 15016 ; 15015 ; 15014 ; 15013 ; 15012 ; 15011 ; 15010 ; 15009 ; 15007 ; 15006 ; 15005 ; 15004 ; 15003 ; 15002 
octopus (orbatrix);;;x;;x;;;;;x;;;;;;;;;;;x;;x;;x;;;
octopus (phaser);;;x;;x;;;;;x;;x;;x;;x;;;;;;;;;x;;x;
octopus (phaser360);;x;x;;x;;;;;x;;x;;;;;;x;;;;;x;;;;x;
octopus (sparky);;;x;;x;;;;;x;;x;;x;;;;x;;;x;;x;;x;;x;
octopus (sparky360);;x;x;;;;;;;;x;x;;x;;x;x;;;;x;;x;;x;;;
octopus (vorticon);;;x;;x;;;;;x;;x;;;;;;;;;;;;;x;;x;
octopus (vortininja);;x;x;x;x;x;;;;x;;x;;;;;;x;;;;;;;x;;;
octopus-arc-r (blorb);;;x;;;;;;;x;;x;;x;;;;x;;;;;x;;x;;x;
octopus-arc-r (bluebird);;;x;;x;;;;;x;;;;x;;;;x;;;;;;;x;;;
octopus-kernelnext (ampton);;;;;x;;;;;;;x;;x;;x;;x;;;;;;;x;;;
octopus-kernelnext (apel);;;;;x;;;;;x;;x;;;;x;;x;;;x;;;;x;;;
octopus-kernelnext (bloog);;;x;;;;;;;x;;x;;;;;;;;;x;;x;;x;;x;
octopus-kernelnext (blooglet);;;;;;;;;;x;;x;;x;;x;;x;;;x;;x;;x;;;
octopus-kernelnext (blooguard);;;x;;x;;;;;;;x;;;;;;;;;;;;;;;;
octopus-kernelnext (blorb);;;x;;x;;;;;x;;x;;x;;;;x;;;;;;;x;;x;
octopus-kernelnext (bluebird);;;x;;x;;;;;x;;x;;x;;;;x;;;x;;;;;;;
octopus-kernelnext (bobba);;;x;;x;;;;;x;;x;;;;;;;;;;;;;;;;
octopus-kernelnext (bobba360);;;x;;x;;;;;x;;x;;x;;;;;;;x;;x;;;;x;
octopus-kernelnext (casta);;;x;;x;;;;;x;;x;;;;x;;;;;;;x;;;;;
octopus-kernelnext (dood);;;;;;;;;;x;;x;;;;x;;;;;x;;x;;;;;
octopus-kernelnext (dorp);;;x;;x;;;;;x;;;;;;;;;;;x;;;;x;;x;
octopus-kernelnext (droid);;;x;;x;;;;;x;;x;;;;;;x;;;x;;x;;x;;x;
octopus-kernelnext (fleex);;;x;;x;;;;;x;;x;;;;;;;;;;;;;x;;;
octopus-kernelnext (foob);;;x;;x;;;;;x;;x;;x;;;;;;;;;;;x;;x;
octopus-kernelnext (foob360);;;x;;;;;;;x;;;;x;;;;;;;x;;;;;;x;
octopus-kernelnext (garfour);;;x;;x;;;;;x;;x;;;;x;;x;;;;;x;;;;;
octopus-kernelnext (garg);;;x;;x;;;;;x;;;;x;;;;;;;;;x;;x;;;
octopus-kernelnext (garg360);;;x;;x;;;;;x;;x;;x;;;;;;;;;;;;;x;
octopus-kernelnext (grabbiter);;;x;;x;;;;;x;;;;x;;;;x;;;;;x;;x;;x;
octopus-kernelnext (laser14);;;x;;x;;;;;x;;x;;x;;x;;;;;x;;x;;x;;;
octopus-kernelnext (lick);;;x;;x;;;;;x;;;;x;;;;x;;;;;x;;;;;
octopus-kernelnext (meep);;;;;;;;;;;;;;;;;;;;;x;;x;;x;;;
octopus-kernelnext (mimrock);;;x;;;;;;;x;;;;;;x;;x;;;x;;x;;x;;;
octopus-kernelnext (nospike);;;;;x;;;;;;;x;;x;;x;;;;;;;x;;x;;;
octopus-kernelnext (orbatrix);;;x;;x;;;;;x;;;;x;;;;;;;;;x;;;;x;
octopus-kernelnext (phaser);;;x;;x;;;;;x;;;;x;;;;;;;x;;;;x;;x;
octopus-kernelnext (phaser360);;;;;x;;;;;x;;;;x;;;;x;;;;;;;;;;
octopus-kernelnext (sparky);;;x;;x;;;;;x;;x;;x;;x;;x;;;x;;;;x;;;
octopus-kernelnext (sparky360);;;;;x;;;;;x;;;;x;;;;;;;;;;;x;;x;
octopus-kernelnext (vorticon);;;x;;;;;;;x;;x;;x;;x;;x;;;;;x;;;;;
octopus-kernelnext (vortininja);;;x;;x;;;;;x;;x;;;;x;;x;;;x;;x;;;;x;
puff (dooly);;;;x;;;;;;;x;;x;;;;;;;x;;;;;;;;
puff (duffy);;x;;x;;;;;;;x;;;;;;;;;x;;;;;;;;
